aframe-capture session 20260702-080734
target: /dev/cu.usbserial-0001
output: captures/20260702-080734

== GetVersion
  VER.2.00-BLD.001 2019/02/28 17:58:50
== Enter external edit mode
== Probe instrument parameters (algo 0)
=== INST algo=0 prm_num=79 tone=SnappyFramey
  I  0 =     40 | ?Bf:SnappyFramey | Main In:C60/E40?
  I  1 =      3 | ?Bf:SnappyFramey | MainOvt:BesselM0
  I  2 =     15 | ?Bf:SnappyFramey | MainHrmNo.:15?  
  I  3 =     30 | ?Bf:SnappyFramey | MainTune:   30Hz
  I  4 =     40 | ?Bf:SnappyFramey | MainDcay: 4.0sec
  I  5 =     13 | ?Bf:SnappyFramey | Main HFD:+0.13? 
  I  6 =     90 | ?Bf:SnappyFramey | Main DQM: 90?   
  I  7 =    -12 | ?Bf:SnappyFramey | Main DFM: -12?  
  I  8 =      8 | ?Bf:SnappyFramey | Main PFM:  +8?  
  I  9 =      0 | ?Bf:SnappyFramey | MainSC:OFF      
  I 10 =     65 | ?Bf:SnappyFramey | MainMute:+64?   
  I 11 =      0 | ?Bf:SnappyFramey | Main OD:  +0?   
  I 12 =    100 | ?Bf:SnappyFramey | Sub In:C0/E100? 
  I 13 =      9 | ?Bf:SnappyFramey | Sub Ovt:BesselM6
  I 14 =     17 | ?Bf:SnappyFramey | Sub HrmNo.:17?  
  I 15 =     64 | ?Bf:SnappyFramey | Sub Tune:   64Hz
  I 16 =   3000 | ?Bf:SnappyFramey | Sub Dcay:3000ms?
  I 17 =     90 | ?Bf:SnappyFramey | Sub HFD:+0.90?  
  I 18 =     65 | ?Bf:SnappyFramey | Sub DQM: 65?    
  I 19 =     -3 | ?Bf:SnappyFramey | Sub DFM:  -3?   
  I 20 =      8 | ?Bf:SnappyFramey | Sub PFM:  +8?   
  I 21 =      0 | ?Bf:SnappyFramey | Sub SC:OFF      
  I 22 =      1 | ?Bf:SnappyFramey | Sub Mute:ON(30)?
  I 23 =      0 | ?Bf:SnappyFramey | Sub OD:  +0?    
  I 24 =      0 | ?Bf:SnappyFramey | Sub Delay:  0ms?
  I 25 =      1 | ?Bf:SnappyFramey | Sub D.Tap:  1?  
  I 26 =     95 | ?Bf:SnappyFramey | Xtra In:C05/E95?
  I 27 =      2 | ?Bf:SnappyFramey | XtraType:HPF Nz 
  I 28 =   2520 | ?Bf:SnappyFramey | XtraTune: 2520Hz
  I 29 =    290 | ?Bf:SnappyFramey | XtraDcay: 290ms?
  I 30 =     10 | ?Bf:SnappyFramey | XtraHold:  10ms?
  I 31 =    120 | ?Bf:SnappyFramey | XtraFltQ:12.0?  
  I 32 =     20 | ?Bf:SnappyFramey | Xtra DQM: 20?   
  I 33 =     10 | ?Bf:SnappyFramey | Xtra DFM: +10?  
  I 34 =      0 | ?Bf:SnappyFramey | Xtra PFM:  +0?  
  I 35 =    -90 | ?Bf:SnappyFramey | XtraMute:-90?   
  I 36 =      0 | ?Bf:SnappyFramey | XtraDelay:  0ms?
  I 37 =      7 | ?Bf:SnappyFramey | XtraD.Tap:+7?   
  I 38 =    100 | ?Bf:SnappyFramey | DryC.EqF:  100Hz
  I 39 =      0 | ?Bf:SnappyFramey | DryC.EqG: +0.0dB
  I 40 =     10 | ?Bf:SnappyFramey | DryC.EqQ: 1.0?  
  I 41 =   5000 | ?Bf:SnappyFramey | DryE.EqF: 5000Hz
  I 42 =    130 | ?Bf:SnappyFramey | DryE.EqG:+13.0dB
  I 43 =     15 | ?Bf:SnappyFramey | DryE.EqQ: 1.5?  
  I 44 =    840 | ?Bf:SnappyFramey | CentrLPF:  840Hz
  I 45 =    500 | ?Bf:SnappyFramey | Edge HPF:  500Hz
  I 46 =     30 | ?Bf:SnappyFramey | Mute Sens: 30?  
  I 47 =     90 | ?Bf:SnappyFramey | Mute Mask: 90ms?
  I 48 =     81 | ?Bf:SnappyFramey | Mute Dcay: 81?  
  I 49 =      4 | ?Bf:SnappyFramey | Bend Curve:A4?  
  I 50 =     64 | ?Bf:SnappyFramey | MixMainPan:C00--
  I 51 =     64 | ?Bf:SnappyFramey | MixSub Pan:C00--
  I 52 =     64 | ?Bf:SnappyFramey | MixXtraPan:C00--
  I 53 =     64 | ?Bf:SnappyFramey | MixDryCPan:C00? 
  I 54 =     64 | ?Bf:SnappyFramey | MixDryEPan:C00? 
  I 55 =    100 | ?Bf:SnappyFramey | MixMainLev:100--
  I 56 =     75 | ?Bf:SnappyFramey | MixSub Lev: 75--
  I 57 =     90 | ?Bf:SnappyFramey | MixXtraLev: 90--
  I 58 =     50 | ?Bf:SnappyFramey | MixDryCLev: 50? 
  I 59 =     70 | ?Bf:SnappyFramey | MixDryELev: 70? 
  I 60 =     80 | ?Bf:SnappyFramey | MixMainSnd: 80M+
  I 61 =    100 | ?Bf:SnappyFramey | MixSub Snd:100M+
  I 62 =    100 | ?Bf:SnappyFramey | MixXtraSnd:100M+
  I 63 =    100 | ?Bf:SnappyFramey | MixDryCSnd:100M+
  I 64 =    100 | ?Bf:SnappyFramey | MixDryESnd:100M+
  I 65 =    100 | ?Bf:SnappyFramey | MixMasterLev:100
  I 66 =     64 | ?Bf:SnappyFramey | MixMasterBal:C00
  I 67 =      0 | ?Bf:SnappyFramey | XtraD.Fluct:  0?
  I 68 =      0 | ?Bf:SnappyFramey | XtraD.Atck:  0ms
  I 69 =     50 | ?Bf:SnappyFramey | XtraD.Dcay: 50ms
  I 70 =      1 | ?Bf:SnappyFramey | XtraJxF.Type:HPF
  I 71 =   -100 | ?Bf:SnappyFramey | XtraJxFR: 1.00? 
  I 72 =   -150 | ?Bf:SnappyFramey | XtraJxMR: 1.50? 
  I 73 =      0 | ?Bf:SnappyFramey | XtraJxXFMod:+0? 
  I 74 =    100 | ?Bf:SnappyFramey | XtraJxCarLev:100
  I 75 =    100 | ?Bf:SnappyFramey | XtraJxModLev:100
  I 76 =      0 | ?Bf:SnappyFramey | XtraJxRingLv:  0
